bland, 1360.3090985224105
mediocr, 1295.7174698304425
rude, 1126.644523200881
decent, 1059.3400447578042
nt, 1057.5124083183325
bad, 961.6817692935142
overpr, 952.4483489171821
terribl, 923.2647816600902
delici, 919.9037198423033
worst, 886.6267240379478
averag, 880.6763556394734
disappoint, 836.0953746908452
meh, 822.5145366305233
overr, 796.895543440477
perfect, 778.157788193341
hype, 759.4438242263574
amaz, 747.8643453567388
horribl, 709.3042549748862
lack, 649.8039186943138
poor, 630.3760103138884
favorit, 616.7873144406846
expect, 612.4898307092732
star, 551.177640533861
understand, 551.1722576482766
love, 533.2636240971751
good, 508.3976713847113
food, 502.7867970247747
overcook, 497.40614006545263
underwhelm, 478.56129396564853
dri, 464.79570280219167
told, 454.5725585690497
fine, 442.63794364034123
tasteless, 436.4494909279872
guess, 409.979757675663
NUM, 409.2292454962192
left, 383.7634040062401
charg, 383.0006421584832
minut, 379.7652218445942
pretti, 375.82769993633156
flavorless, 370.54569141822725
felt, 364.494123270563
rate, 361.94959257223917
tabl, 359.9259239276109
suppos, 358.74390298606164
apolog, 356.217191114396
servic, 349.2606350374732
great, 348.6159399209218
waitress, 347.01382017960685
attitud, 346.41933623216136
custom, 346.14911766775873
impress, 334.84120432598917
tast, 333.39172305489967
alright, 330.1678580026711
awesom, 328.81773524753766
excit, 323.82882780479855
disgust, 313.4770509488656
review, 313.2364767622588
wors, 312.1557588602618
sad, 312.1545777726113
money, 307.9217281046466
hostess, 293.56727930964354
ined, 284.40363026731353
hear, 277.5531111570662
peopl, 275.5182223898223
aok, 271.47045363788715
order, 270.4753107098717
soggi, 263.6222965209979
pay, 261.944658741056
receiv, 259.8511755004211
undercook, 259.2701444897365
waiter, 254.25872443989053
point, 248.07517640139972
slow, 247.9366559103332
thought, 246.68901893602302
rave, 244.91678262965254
loud, 243.86336510906537
wast, 240.61638727064746
excel, 232.18172635237178
unimpress, 230.47258617802464
fantast, 230.07724360752042
gross, 224.15212691780567
bill, 217.63209549941374
blah, 214.74645625738552
server, 213.88186751183684
manag, 212.33329423590305
eh, 207.33212513163315
annoy, 206.82452521894191
final, 204.55745198162268
lacklust, 203.33954391612863
bare, 202.65308445772527
taco, 198.26789271446123
flag, 197.95099086535546
salti, 196.26663312402636
stale, 194.41624527967656
salt, 189.14188512201466
subpar, 188.96994085199097
unaccept, 186.63002443990638
ruin, 185.17192676159155
yell, 182.5110132418651
empti, 181.39890101870952
check, 177.4033416344069
desir, 175.3065510942104
heaven, 174.62748644825902
water, 171.67386255142642
greasi, 167.58701419855763
confus, 164.89807729310462
paid, 160.96635889286333
wo, 160.87791084419675
overhyp, 159.787369950349
insult, 158.71648772733784
mess, 157.48180592314844
fresh, 155.15323377109976
stand, 154.65847183099268
honest, 153.38775810852073
recommend, 152.38152472616522
soso, 151.52995989076595
yum, 148.95165428967215
lukewarm, 146.09806658078136
drink, 145.60115731250696
return, 143.76062370087024
problem, 141.76879241204165
yuck, 141.4839452514372
refus, 140.87696506598294
fair, 139.38345796973138
act, 138.62737187765734
heard, 138.4115727883838
mushi, 138.37091686556064
restaur, 136.99417717346688
appar, 135.79209530154344
rubberi, 135.6959515292763
sick, 135.50116460798344
experi, 134.72339504333684
bother, 133.34337114647494
price, 132.09696019800447
wateri, 131.78220977374943
credit, 130.7486180388887
refil, 130.44352980319687
absolut, 130.2646271444593
arriv, 130.24916628133548
thing, 129.3650427280371
suck, 128.71151906344988
basic, 125.80215297905379
wtf, 125.34398036921546
stood, 124.87289803373244
feel, 124.65618659606356
write, 122.343676714442
attempt, 121.6431352331845
part, 121.30791139470008
cold, 119.79845670069196
uninspir, 116.70932937781737
dirti, 115.29288539453334
brisket, 114.41276968636345
forgett, 113.63857696671248
potenti, 112.79755085319115
host, 111.30649288288829
downhil, 108.24453764538323
burnt, 107.57262410693441
leav, 107.26677176119806
piss, 106.84097185060322
back, 106.51769664504047
bouncer, 104.98991071118834
nasti, 104.0764760444044
inattent, 102.25308293919042
concept, 102.17922851433356
base, 102.04008951517565
issu, 100.94785719026834
tough, 100.62963820947486
die, 100.1326993997857
spend, 99.8021560845965
cobbler, 98.99128167012964
fail, 98.23859973627512
card, 97.99882204819532
strang, 97.30724638682557
respond, 97.08317880994319
disappear, 96.78694820611078
repli, 95.08534092005225
send, 94.39747777816152
mexican, 93.51204267126553
half, 93.27152696437315
push, 93.26069652254427
turn, 93.19178830074193
unpleas, 92.98641616592487
expens, 92.36948312864239
redeem, 91.70622927730794
similar, 91.56784282837275
tini, 91.3509120767343
yummi, 90.87209757070146
assum, 90.69067325642114
convers, 90.57222936264587
posit, 90.40732603485259
screw, 89.79858690490799
nope, 89.16128855591187
bore, 89.01693554762284
justifi, 88.89276291730697
kind, 88.47026424812518
put, 87.83343829786234
special, 86.9351482155513
mouth, 86.89597648106806
opinion, 86.82945149271164
letdown, 86.74443604581691
peach, 85.71198465680149
hate, 85.21982509799173
melt, 84.98292333313753
unappet, 84.22452163537784
chicago, 84.06803581689883
hour, 83.9688165842358
lost, 83.07558389569857
inch, 81.67660428729518
respons, 81.53688409280666
bottom, 80.89774210590377
gave, 80.44599040501078
uncomfort, 80.01148689458427
forgot, 79.89585503891627
read, 79.38718889005317
irrit, 78.46937559782633
call, 78.18274312116364
edibl, 77.47627861339672
comp, 77.18092340526938
mercadito, 77.13598283399097
sashimi, 77.04056955316936
pair, 76.27363359418496
frustrat, 75.31724490254888
wrong, 74.99227003895629
bleh, 74.76213707993166
fuss, 74.67702343115947
rest, 74.54565181742979
bbq, 74.36384620060471
